invoice_id,customer,amount,currency,invoice_date,due_date,payment_status,project_id
INV-202602-0404,Infosys Consulting,1677022,USD,2026-02-18,2026-03-20,draft,PRJ-023
INV-202606-0405,Britannia,676792,SGD,2026-06-08,2026-07-08,paid,PRJ-025
INV-202605-0406,PepsiCo India,1241711,USD,2026-05-10,2026-06-09,pending,PRJ-011
INV-202602-0407,Kotak Securities,121692,AED,2026-02-28,2026-03-30,draft,PRJ-007
INV-202606-0408,Adidas India,180724,SGD,2026-06-20,2026-07-20,paid,PRJ-006
INV-202604-0409,Godrej,823937,AED,2026-04-17,2026-05-17,draft,PRJ-006
INV-202605-0410,L&T Infotech,1504193,AED,2026-05-23,2026-06-22,draft,PRJ-023
INV-202605-0411,Dabur,1003542,AED,2026-05-13,2026-06-12,paid,PRJ-007
INV-202604-0412,ICICI Bank,1886709,USD,2026-04-28,2026-05-28,pending,PRJ-013
INV-202604-0413,HDFC Bank,651726,SGD,2026-04-19,2026-05-19,pending,PRJ-030
INV-202605-0414,CRED,794559,AED,2026-05-03,2026-06-02,pending,PRJ-025
INV-202605-0415,MEA Retail Group,628760,SGD,2026-05-12,2026-06-11,pending,PRJ-019
INV-202604-0416,Bluepeak Logistics,985706,AED,2026-04-15,2026-05-15,draft,PRJ-014
INV-202603-0417,HCL Technologies,780728,SGD,2026-03-09,2026-04-08,draft,PRJ-001
INV-202603-0418,Flipkart,936287,USD,2026-03-21,2026-04-20,paid,PRJ-012
INV-202603-0419,MEA Retail Group,627648,INR,2026-03-08,2026-04-07,paid,PRJ-004
INV-202605-0420,Nimbus Health,765471,INR,2026-05-07,2026-06-06,overdue,PRJ-007
INV-202603-0421,ITC Limited,700469,AED,2026-03-24,2026-04-23,overdue,PRJ-007
INV-202606-0422,Page Industries,1276751,USD,2026-06-24,2026-07-24,overdue,PRJ-001
INV-202603-0423,Swiggy,638042,AED,2026-03-26,2026-04-25,draft,PRJ-013
INV-202604-0424,Razorpay,1226251,INR,2026-04-21,2026-05-21,pending,PRJ-028
INV-202606-0425,Maruti Suzuki,487266,USD,2026-06-24,2026-07-24,pending,PRJ-016
INV-202606-0426,ICICI Bank,1091764,SGD,2026-06-27,2026-07-27,draft,PRJ-011
INV-202602-0427,Paytm,190094,AED,2026-02-14,2026-03-16,draft,PRJ-007
